name,total_words,distinct_words,alpha,C
frakenstein,78024,7541,1.1149247500243535,6.16818714190645
dracula,160664,10616,1.0860884745466923,6.969854044577437
jayne-eyre,185390,17498,0.9702751179280267,11.911448244559207
