word,freq
word,14
moved,14
expression,14
admiration,14
curiosity,14
hatred,14
remorse,14
amiable,14
mountain,14
sufferings,14
support,14
recovered,14
herself,14
call,14
sky,14
presented,14
produced,14
presently,14
urged,13
employed,13
pursued,13
allow,13
passions,13
least,13
limbs,13
watching,13
surprised,13
divine,13
sense,13
arabian,13
better,13
directed,13
believed,13
ernest,13
shut,13
labour,13
parents,13
addressed,13
protectors,13
gained,13
reason,13
feared,13
endeavour,13
modern,13
devoted,13
certainly,13
promised,13
instant,13
threw,13
success,13
enjoyed,13
vain,13
mighty,13
remembered,13
magistrate,13
secret,13
ought,13
virtue,13
spring,13
less,13
conceived,13
bestowed,13
commence,13
above,13
dare,13
undertaking,13
next,13
beneath,13
round,13
winter,13
obliged,13
reflection,13
paused,13
crimes,13
ardour,13
feet,13
prospect,13
noble,12
possible,12
hitherto,12
hunger,12
dreadful,12
companions,12
greatly,12
enough,12
danger,12
cast,12
fair,12
studies,12
north,12
evening,12
cheerful,12
committed,12
off,12
sensation,12
listen,12
lady,12
increased,12
wild,12
books,12
corpse,12
sledge,12
ocean,12
mont,12
occupations,12
except,12
expected,12
torture,12
justice,12
clouds,12
destiny,12
created,12
set,12
river,12
abhorred,12
fatigue,12
doubt,12
warmth,12
supposed,12
plan,12
woods,12
satisfied,12
white,12
turn,12
listened,12
considered,12
people,12
consent,12
eternal,12
best,12
things,12
fellow-creatures,12
remains,12
want,12
fled,12
objects,12
city,12
village,12
meet,12
surely,12
degrees,12
kirwin,12
themselves,12
arrive,12
branches,12
fresh,12
three,11
clear,11
right,11
inhabitants,11
blue,11
london,11
besides,11
gloom,11
enthusiasm,11
species,11
picture,11
accordingly,11
confined,11
known,11
situation,11
partly,11
circumstance,11
stars,11
mankind,11
difficulty,11
assured,11
experienced,11
guilty,11
honour,11
fall,11
condemned,11
times,11
deprived,11
vast,11
duty,11
prison,11
ceased,11
hills,11
waters,11
rushed,11
changed,11
beginning,11
sides,11
trembled,11
broken,11
longed,11
terrible,11
rapidly,11
duties,11
really,11
related,11
switzerland,11
compassion,11
wife,11
pity,11
together,11
summer,11
gazed,11
done,11
carried,11
utterly,11
figure,11
hard,11
terror,11
gloomy,11
behind,11
stood,11
fears,11
following,11
suffer,11
reality,11
residence,11
utter,11
forget,10
forms,10
poverty,10
occasion,10
weep,10
remembrance,10
trial,10
five,10
follow,10
guilt,10
weather,10
ardently,10
paris,10
learn,10
move,10
bent,10
alive,10
enterprise,10
forced,10
sad,10
instead,10
afford,10
arose,10
beyond,10
impossible,10
17,10
burning,10
apparently,10
recollection,10
case,10
distant,10
solitary,10
evidence,10
leaves,10
ancient,10
season,10
blind,10
approach,10
margaret,10
de,10
aid,10
bitterly,10
safety,10
persuade,10
demand,10
garden,10
hell,10
court,10
caused,10
conceive,10
tell,10
breeze,10
render,10
happened,10
ardent,10
ignorant,10
